AFFGEOID,DNAME11
1500000US510690501002, 91
1500000US510919701003, 16
1500000US511710403002, 29
1500000US511610302051, 13
1500000US511610307021, 14
1500000US511610308011, 17
1500000US511610308012, 17
1500000US510270103003, 1
1500000US515500200023, 41
1500000US515500200033, 41
1500000US515500204001, 41
1500000US515500206004, 41
1500000US517700025003, 17
1500000US511850202004, 7
1500000US511850210003, 7
1500000US511850210004, 7
1500000US511552103005, 5
1500000US511552103004, 5
1500000US510719303003, 5
1500000US510719304004, 5
1500000US510479305022, 83
1500000US510619307063, 83
1500000US510594809013, 52
1500000US510411009293, 69
1500000US516600001013, 22
1500000US517100002021, 24
1500000US516800006002, 10
1500000US518100416002, 38
1500000US517000309001, 42
1500000US510030108003, 70
1500000US510872001072, 68
1500000US510090101004, 16
1500000US510790302002, 49
1500000US517308110002, 58
1500000US510131026002, 100
1500000US515500204003, 41
1500000US518100454051, 39
1500000US510872008051, 66
1500000US517700001003, 14
1500000US511730306003, 7
1500000US511210203005, 21
1500000US517402120001, 32
1500000US511790102073, 80
1500000US517000309002, 42
1500000US510594324023, 92
1500000US511319302002, 47
1500000US517700018003, 17
1500000US517700019002, 17
1500000US517700027004, 17
1500000US517700003001, 13
1500000US517700009002, 14
1500000US517700022001, 14
1500000US511990503063, 44
1500000US518100460062, 38
1500000US517000306001, 42
1500000US516500106021, 27
1500000US516500103102, 42
1500000US516500104005, 42
1500000US516500101036, 27
1500000US516500118001, 27
1500000US518000653004, 45
1500000US517000303001, 42
1500000US517000308001, 42
1500000US517000322122, 44
1500000US511752002001, 58
1500000US518303701003, 46
1500000US511076110214, 51
1500000US511610308013, 17
1500000US510411003001, 71
1500000US510594161002, 88
1500000US517000303006, 42
1500000US510594506014, 64
1500000US510594301011, 87
1500000US510150711022, 11
1500000US510411009301, 67
1500000US517100057012, 24
1500000US515102018011, 98
1500000US510310204031, 18
1500000US510131036012, 98
1500000US516800006004, 10
1500000US516800010003, 10
1500000US516800016002, 19
1500000US516800017001, 19
1500000US516800006001, 10
1500000US516800007001, 10
1500000US510090101003, 16
1500000US510310209003, 8
1500000US510310207001, 18
1500000US511390305005, 29
1500000US510619304011, 55
1500000US511870204003, 12
1500000US511870205003, 12
1500000US516800009001, 19
1500000US510594826012, 86
1500000US517600204005, 60
1500000US510594616021, 64
1500000US510310203002, 19
1500000US511539014033, 82
1500000US510594826022, 86
1500000US510131007004, 31
1500000US516800002012, 10
1500000US517100066061, 24
1500000US510594302012, 85
1500000US510411009104, 67
1500000US510131018031, 31
1500000US518100410031, 38
1500000US511539016013, 81
1500000US510131012002, 99
1500000US511076110131, 54
1500000US515900006003, 25
1500000US510594822034, 62
1500000US517700005004, 13
1500000US517600305001, 60
1500000US510594811051, 52
1500000US516600004024, 22
1500000US510872008043, 66
1500000US510594524001, 95
1500000US510594402024, 64
1500000US510594917043, 87
1500000US510030107001, 49
1500000US517100064002, 41
1500000US511770201071, 90
1500000US517100003001, 24
1500000US517100056022, 24
1500000US517100059024, 24
1500000US510411009151, 67
1500000US518400002011, 91
1500000US510594211013, 88
1500000US510131015002, 31
1500000US518100428013, 23
1500000US510594528014, 99
1500000US510131013004, 31
1500000US515102012041, 98
1500000US510594316003, 88
1500000US517000320023, 48
1500000US510131036021, 98
1500000US510594522003, 95
1500000US510872004072, 74
1500000US510411004052, 71
1500000US510594615002, 63
1500000US517750102003, 14
1500000US517353401001, 36
1500000US510594811043, 52
1500000US510872014031, 61
1500000US511210209001, 21
1500000US510131017031, 31
1500000US510594712022, 30
1500000US510150701003, 20
1500000US510594809022, 52
1500000US518100462114, 37
1500000US515200203002, 2
1500000US511539012112, 78
1500000US517000322113, 44
1500000US517000322231, 44
1500000US517600102001, 66
1500000US515958902002, 58
1500000US515500210121, 40
1500000US510594218002, 88
1500000US511690304002, 3
1500000US518100448072, 23
1500000US517100002012, 24
1500000US516839104013, 81
1500000US510872012022, 61
1500000US510131016022, 31
1500000US510594218001, 88
1500000US510131009002, 30
1500000US510150711011, 11
1500000US510594601001, 62
1500000US510890103004, 6
1500000US515500214023, 33
1500000US517000320052, 44
1500000US511539012261, 78
1500000US510890102004, 6
1500000US511730301001, 7
1500000US511539010102, 80
1500000US510872015013, 60
1500000US510594913014, 84
1500000US510594205033, 89
1500000US510594817012, 86
1500000US510594224021, 88
1500000US510594811062, 52
1500000US510131027022, 100
1500000US511539015082, 55
1500000US510594223024, 88
1500000US518000651001, 45
1500000US510594922023, 92
1500000US510872004061, 74
1500000US510872015022, 60
1500000US518100446004, 23
1500000US516600002044, 22
1500000US510594712012, 64
1500000US515500202003, 41
1500000US511970503011, 7
1500000US510594615003, 63
1500000US511076114001, 56
1500000US511076119002, 51
1500000US510131036011, 100
1500000US517308103003, 59
1500000US517600409002, 76
1500000US510594616022, 64
1500000US511076110052, 54
