11 5301
-82.0703354123 36.8853888625 dark-spring-green
-82.6129618275 36.8041695458 dark-spring-green
-77.485558459 38.2579902297 purple
-77.4376341825 38.2931992295 purple
-77.4831873859 38.4633956477 purple
-77.4861074367 38.3279355865 purple
-77.4716877346 38.7551291831 royalblue
-77.4719822747 38.7704692286 royalblue
-78.4788998998 38.0381436221 red
-79.3981622639 36.6363650707 dark-magenta
-79.3911395781 36.6129249708 dark-magenta
-79.3946271482 36.5886313681 dark-magenta
-79.4233591633 36.5635614829 dark-magenta
-81.0871830563 36.9543777827 dark-spring-green
-78.8567897015 38.4385392167 red
-77.4199680061 37.2777406823 web-blue
-78.1669293949 39.1891136005 royalblue
-78.1772284548 39.1735397424 royalblue
-78.1878391395 39.1674005896 royalblue
-78.868861919 38.4541100317 red
-77.2945001504 37.3075110123 web-blue
-77.7648443118 37.6963837177 dark-orange
-77.1597411244 38.899002925 dark-cyan
-77.1236998629 38.8839231443 dark-cyan
-77.1653821315 38.8939036565 dark-cyan
-80.9150424426 36.6693374484 dark-spring-green
-79.0913215934 38.1515081435 red
-77.1281755196 38.8239540856 dark-cyan
-77.1255327734 38.8202941433 dark-cyan
-77.0785631579 38.8090971618 dark-cyan
-77.0828615024 38.8291083598 dark-cyan
-77.1842296931 38.8866544414 dark-cyan
-77.0818785816 38.8402437298 dark-cyan
-77.0621225708 38.8214863785 dark-cyan
-77.0617965534 38.819267877 dark-cyan
-77.0688334499 38.8151162311 dark-cyan
-77.0424510512 38.8119425569 dark-cyan
-77.1379682795 38.8049967797 dark-cyan
-77.1017662214 38.8091862746 dark-cyan
-77.1202471649 38.8141780364 dark-cyan
-77.5232590631 37.5072941556 dark-orange
-77.4563018034 37.5812137904 dark-orange
-77.4930862272 37.5650827203 dark-orange
-77.4805578896 37.5634635311 dark-orange
-77.4637246932 37.5562455934 dark-orange
-77.4585209045 37.5459063752 dark-orange
-77.4697368965 37.5132864364 dark-orange
-77.4645246557 37.5063919104 dark-orange
-77.4582815265 37.4966015032 dark-orange
-77.4491977356 37.5534205623 dark-orange
-77.4323567338 37.5434577872 dark-orange
-77.4383929818 37.5532321329 dark-orange
-77.2992473774 37.2796058601 web-blue
-77.4180690989 37.5346229831 web-blue
-77.4559915338 37.5127085319 dark-orange
-77.4402585573 37.4935792963 dark-orange
-77.4827849483 37.4661210129 dark-orange
-79.4497492188 37.7867803152 dark-magenta
-77.4733328909 38.7848447316 royalblue
-78.4719998286 38.0357095227 red
-78.4767328882 38.0213997553 red
-77.4571189923 38.280918729 purple
-77.4722663406 38.3060587083 purple
-77.469813594 38.3132494069 purple
-78.5036038933 38.0194172857 red
-78.4968345328 38.0493488488 red
-77.5771406586 37.5374796508 dark-orange
-77.5184053729 37.515157303 dark-orange
-77.417050524 37.2091251393 web-blue
-77.403940278 37.219598677 web-blue
-77.3639341582 37.1885745429 web-blue
-77.4178060639 37.5665736298 dark-orange
-77.3175769575 38.8575873231 goldenrod
-77.3066158426 38.8405604486 goldenrod
-77.4690840075 37.2048268463 web-blue
-80.7592350903 37.0231290823 dark-spring-green
-80.7655813014 37.0502512399 dark-spring-green
-81.9664468561 36.7278420939 dark-spring-green
-77.6013830311 37.521979289 dark-orange
